make_model,make,location,price,body_type,type,doors,mileage,gearbox,fuel_type,seller,power,gears,emission_class,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Fiat Tipo,Fiat,ES,23000,Sedan,Pre-registered,5.0,3500.0,Automatic,Other,Dealer,96.0,6.0,Euro 6,0.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,17690,Sedan,Demonstration,5.0,19286.0,Manual,Benzin,Dealer,88.0,6.0,Euro 6,3.0,Standart,Low,standard
Fiat Tipo,Fiat,ES,12190,Sedan,Used,5.0,69240.0,Manual,LPG/CNG,Dealer,88.0,6.0,Euro 6,4.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,11750,Sedan,Used,5.0,67400.0,Manual,Diesel,Dealer,88.0,6.0,Euro 6,5.0,Standart,Low,standard
Fiat 500,Fiat,DE,15000,Sedan,Pre-registered,3.0,1001.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,0.0,Standart,Low,standard
Fiat 500X,Fiat,DE,23990,Sedan,Demonstration,5.0,3500.0,Manual,Benzin,Dealer,88.0,6.0,Euro 6,1.0,Standart,Low,standard
Fiat 500X,Fiat,DE,29980,Sedan,Demonstration,5.0,2222.0,Manual,Benzin,Dealer,88.0,6.0,Euro 6,1.0,Upgrated,Low,standard
Fiat 500X,Fiat,DE,16450,Sedan,Used,5.0,34761.0,Manual,Benzin,Dealer,103.0,6.0,Euro 6,4.0,Standart,Low,standard
Fiat 500,Fiat,BE,11299,Sedan,Used,3.0,60000.0,Manual,Benzin,Dealer,51.0,6.0,Euro 6,4.0,Standart,Low,standard
Fiat 500e,Fiat,BE,27450,Sedan,Demonstration,5.0,28250.0,Automatic,Electric,Dealer,87.0,5.0,Euro 6,1.0,Upgrated,Electric,standard
Fiat 500,Fiat,DE,11690,Sedan,Used,3.0,30432.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,4.0,Standart,Low,standard
Fiat Tipo,Fiat,BE,12500,Sedan,Used,5.0,17898.0,Manual,Benzin,Dealer,70.0,6.0,Euro 6,2.0,Standart,Low,standard
Fiat 500,Fiat,BE,8490,Sedan,Used,3.0,91101.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,7.0,Standart,Low,standard
Fiat 500,Fiat,DE,30650,Sedan,Employee's car,3.0,194.0,Automatic,Benzin,Dealer,87.0,5.0,Euro 6,1.0,Standart,Low,standard
Fiat 500,Fiat,BE,8750,Sedan,Used,3.0,65000.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,6.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,14900,Sedan,Used,5.0,53110.0,Manual,Diesel,Dealer,88.0,6.0,Euro 6,3.0,Upgrated,Low,standard
Fiat 500,Fiat,BE,10490,Sedan,Demonstration,3.0,90000.0,Manual,Benzin,Dealer,51.0,6.0,Euro 6,6.0,Upgrated,Low,standard
Fiat Panda,Fiat,DE,6990,Sedan,Used,5.0,34225.0,Manual,Benzin,Dealer,51.0,5.0,Other,10.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,13389,Sedan,Used,5.0,13800.0,Manual,Benzin,Dealer,70.0,6.0,Euro 6,3.0,Standart,Low,luxury
Fiat 500,Fiat,DE,11890,Sedan,Used,3.0,31645.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,4.0,Standart,Low,standard
Fiat Tipo,Fiat,ES,9990,Sedan,Used,5.0,144150.0,Manual,Diesel,Dealer,70.0,5.0,Euro 6,5.0,Standart,Low,standard
Fiat 500e,Fiat,DE,35000,Sedan,Demonstration,3.0,9000.0,Automatic,Electric,Dealer,87.0,5.0,Euro 6,0.0,Standart,Electric,standard
Fiat Punto,Fiat,DE,4770,Sedan,Used,5.0,112587.0,Manual,Benzin,Dealer,57.0,5.0,Other,12.0,Standart,Low,standard
Fiat 500,Fiat,DE,13280,Sedan,Used,3.0,21192.0,Manual,Benzin,Dealer,63.0,5.0,Euro 6,3.0,Upgrated,Low,standard
Fiat 500,Fiat,DE,29450,Sedan,Employee's car,3.0,100.0,Automatic,Benzin,Dealer,87.0,5.0,Euro 6,1.0,Standart,Low,standard
Fiat 500,Fiat,BE,8950,Sedan,Used,3.0,65613.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,8.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,15900,Sedan,Used,5.0,16973.0,Automatic,Benzin,Dealer,81.0,6.0,Euro 6,6.0,Standart,Low,standard
Fiat 500,Fiat,DE,13280,Sedan,Used,3.0,36787.0,Manual,Benzin,Dealer,51.0,6.0,Euro 6,2.0,Standart,Low,standard
Fiat 500,Fiat,DE,11890,Sedan,Used,3.0,40303.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,4.0,Standart,Low,standard
Fiat 500,Fiat,DE,13980,Sedan,Used,3.0,18503.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,4.0,Standart,Low,standard
